"attacker_width","hills (80)","forest/jungle (84)","plains/desert (90)","marsh (78)","urban (96)","mountain (75)"
12,424.49595660000296,504.44507950000747,472.27464520000814,410.6906396153797,568.9690917499989,379.3639117999983
13,367.21781879375226,449.313441124993,502.24414615000495,447.55360199998375,506.20812212499874,424.44555930001326
14,416.6233204500065,494.17649850001027,447.48318360001247,406.72176300000564,547.5557584999929,372.8466036000071
15,364.9833900000267,433.79915839285843,485.1228900000004,344.7767803846097,481.75586249999304,421.7802845999995
16,423.9779039999554,389.8494090000002,445.556339999998,414.1928423076841,532.6870094999986,386.8675505999987
17,393.38251706249275,461.3249860714212,400.49455920000906,377.4939516346107,493.7023960312513,347.5142808000164
18,358.65557774999866,430.54713749999667,476.4569160000657,340.97033307691424,446.90534662499977,304.6480584000035
19,316.652128031254,391.8081206250086,448.2769424999969,294.29003423077097,397.23199931249735,407.61947099998923
20,422.21098000001524,351.7284264285919,415.37622999999553,410.84272230768715,503.68266250000113,383.86487599999003
21,399.85497549999707,464.43201500000293,376.82864449998993,386.82610173076876,467.13636968750154,353.8583364999934
22,373.91723470000915,440.02004642852665,457.45838600000627,355.8420830769015,432.05290156251266,320.97547307998803
23,343.61386762500894,409.8255590714368,462.7185731999723,324.3111375384724,388.64459007809245,368.09771579998426
24,309.7685427999945,383.326870428571,439.5580116000071,374.87245499997385,525.9987375000017,389.5987247999834
25,389.66550000006885,356.70017142858586,419.44386,402.73222500007233,506.9611275000066,415.184681999965
26,411.7546499999856,425.0008274999829,388.6092774,423.94280999998387,478.5256968750045,399.5682120000125
27,420.36434999997346,447.05841000001345,359.04964529999813,408.111857307709,449.7266150625193,379.1891537999982
28,404.55779999998794,465.3793424999614,437.83391999996996,388.3699696154198,420.88358850000066,357.1440876000173
29,384.4792500000098,451.95308892856417,458.1440099999559,367.1046519231226,388.5999581250082,333.27784079997383
30,377.3853468750042,439.01073214280905,486.6089399999801,356.6256403846738,490.3733418750175,320.57227259995796
31,354.7942056562696,420.0291621429212,474.5270699999949,332.5012450961678,513.1892193750231,328.4769978000238
32,330.2924111999978,396.0024214286316,456.91109999992915,331.6646250000635,532.3943493750025,340.98472860001107
33,335.0601000000495,372.0882750000434,438.4095599999616,344.8217250000527,516.4285443749892,354.1985393999898
34,349.9498799999549,345.4553003571402,414.66569999994846,359.3517449999539,502.38308999996457,369.0338141999777
35,372.1530399999494,378.07516749995403,406.94304000005235,381.00912999994813,490.8489018749922,388.5406833999389
36,386.6006899999146,391.2849424999194,381.7249523999593,394.3324249999128,468.33306750003646,402.6643484000718
37,399.01284000005757,404.7031125000458,384.96078000004513,407.85232500005816,448.09112437500636,416.2925105999885
38,413.048229999971,418.79338749996543,397.87836999996523,421.16867499997187,425.4061162499671,418.89072680006495
39,425.54359999994233,432.14044999994104,411.4854499999456,434.21052499994056,397.8653400000186,408.7690066000146
40,455.60000000003095,453.6989975000423,436.3688900000538,440.24230769232287,435.4395106250354,411.48600000002784
41,445.08900000003837,465.5845950000536,449.05776000005545,428.9746153847124,446.945836874893,399.0076000000359
42,436.0759999999302,479.0439874999458,461.64919999994663,419.18692307688616,461.6224775000106,387.98039999989334
43,426.3610000000205,471.653812857163,475.5283600000153,406.4792307693256,475.8925243749706,374.0043999999781
44,413.7439999999551,462.4918767857845,489.3607200000098,393.05153846147044,489.0268087500034,359.27960000000854
45,400.4249999999285,462.6107142856558,515.4000000000159,381.10384615380775,509.7470868750015,343.8059999999741
46,386.40400000006684,449.7621428571232,507.04800000003775,366.23615384614146,520.6886756248886,222.1860000000009
47,373.8810000000441,438.64499999999686,498.07200000000745,348.44846153851455,535.6307887499545,229.06600000005537
48,356.2560000000437,424.4592857142304,488.47200000004796,228.88999999996955,549.4702275000614,235.94599999999647
49,229.02000000001598,412.0049999999178,475.8480000001283,235.770000000016,541.3994118750754,242.8259999999348
