"defender_width","Attacker width = 16","Attacker width = 20","Attacker width = 27","Attacker width = 30","Attacker width = 40","Pre-NSB attacker width = 20","Pre-NSB attacker width = 40"
2,1317.0728256001294,1322.7308783998772,1122.7161455999249,1243.3334712001536,1226.338108800181,1430.1885384001607,1338.9711552001572
3,837.7557575999969,850.428142800013,722.1935280000093,796.3146039999939,769.3872467999611,1311.024555599916,1277.1521772000672
4,761.7928511999886,793.4007923999991,680.7463000000164,760.8844464000223,749.5868591999939,1223.4048768000728,1230.4519679998953
5,717.2442540000847,756.2972939999999,653.5983259999894,739.9106520000598,735.4812780000136,1149.5803259997585,1189.7860439998253
6,687.6374956000124,730.3999212000741,632.0312783999834,720.9487759999579,720.5819471999743,1084.871167200023,1152.6236399998759
7,680.035545319998,729.4821678000051,621.4132713199682,716.1162926799876,717.6200969999059,1070.6795020800778,1143.8008535998665
8,633.8757104000013,679.7687951999898,585.8702663999994,682.829143599975,693.3768336000197,970.0555727999322,1084.8262080000752
9,638.4031279200046,680.1959445599821,588.3564575999917,681.224817600016,689.4865886399961,973.1075759998641,1083.8150659201217
10,600.4011240000032,641.5881599999964,549.4638935624879,650.8695600000077,669.8540100000245,868.8177,1021.5831
11,615.1429132249935,642.3157575000224,542.2342423124919,641.8477726250052,662.5866202500293,846.2733830000617,1003.7305389999168
12,602.7046904000024,633.82230000001,535.8444558749989,634.3279399999956,647.2573799999653,803.6156399999824,977.2698000000024
13,633.8460953000026,658.6866150000078,554.5268023125018,656.9975049999971,663.7764599999616,874.52775,1017.286725
14,610.5180466999936,657.854016000041,538.2070758749977,632.9262130000194,646.371265500022,807.1354439999209,971.9169420000989
15,583.4975600000025,634.2663,517.9432036874875,612.7315299999906,629.3474100000059,719.2266,911.98395
16,604.524819199997,653.085630000041,531.9109250624905,628.9571879999963,643.6127160000439,779.6482560000402,948.4239360000812
17,700.3210288000033,680.2092659999633,556.0349561249922,656.8164539999925,660.0203519999784,849.7932619998874,991.9484980000062
18,665.6755786000007,631.5672030001116,522.1472032499939,611.1857294999828,620.3634764999633,713.6657100000202,898.4322840000647
19,686.522622549995,657.3687243749563,549.8824299374842,630.8319176250114,638.6284908749773,773.5184504999282,936.3100620001951
20,632.138684800011,600.8892,504.285273937492,585.3250499999884,599.3072400000243,673.632,811.692
21,647.4960921999962,686.6499284999505,514.6077118124961,613.6109514999745,600.4222237499582,694.264445999876,846.3710189998519
22,666.3660844000212,697.4891640000126,530.028671249978,630.051646000026,616.3962930000115,717.8212800001255,881.5879200001322
23,690.6379319500245,714.8233125000155,551.5139804999847,648.535167999997,638.5446675000128,773.5802459999489,922.0462860001086
24,587.3368239999594,660.3931199999074,479.4018519375303,579.7279900000087,576.852870000033,659.1559199999087,743.847839999991
25,606.0989020000275,671.426578125,489.09982856249025,593.7179631249918,584.2231312499207,681.239025,769.7071875
26,623.871372099956,688.3863524999034,506.60264193753915,603.9976000000079,593.8970025000372,702.51485,804.58105
27,646.8217585749721,703.0610643751014,521.1158420625047,620.472214375003,634.4117718750069,729.3727574998926,840.8558549999932
28,672.6348807999697,718.0279200001033,600.8432911249497,638.3998000000022,653.7491400000039,654.5916000000469,686.7800400000164
29,699.8865287499524,739.0374112498898,613.905276875031,662.4746650000021,681.683276249999,637.9350299999243,668.4899999999734
30,561.4642431999829,617.4168,524.0234322500219,553.6141599999986,559.7175000000307,618.9288,642.7368
31,566.5403431000148,629.1030059999644,533.4504753124725,630.6214325000683,565.9599945000224,642.1086959999806,669.1072079999644
32,577.7228883999547,643.5069120000333,541.9615977499914,639.6213679999282,576.6283679999722,663.9183999999187,701.7733759998936
33,589.3134781000058,660.3257564999988,555.8392810624916,645.4323125000635,587.3534879999744,691.1406959999119,731.2790879998859
34,600.3975988000127,677.2756319999177,569.485791125059,654.5274319999232,598.9920719999884,719.8173719999735,766.952759999946
35,621.1263727000144,693.8424,584.7841073750399,667.556825,613.7052300000328,616.77855,627.75165
36,649.3539688000051,715.8032399999082,600.2581563125659,688.8513559998929,627.0090959999899,601.446960000057,615.0920400000865
37,556.8623800000379,589.2846300000401,485.6431040000369,621.9401600000333,554.0949300000219,591.0514200000422,605.3198100000525
38,542.2884831999721,579.8839199999654,472.54480568752086,609.6564799999692,540.5202599999648,581.4296399999645,605.7758399999451
39,528.347565999967,570.7114499999121,461.74125706249885,595.1042299999007,533.0414100000048,572.9978699999116,594.9772799999149
40,514.6133656000105,564.7932,454.6505251250193,586.7018,524.0941200000057,562.86,588.09
41,523.5039890499853,568.6253264999875,459.85796356255196,594.6949002499889,590.7626628749733,574.5348194999337,596.7683504999349
42,532.1957355999699,573.1390140000836,462.73995162502183,603.5793020001032,594.7505520000702,585.9126540000499,603.1729020000566
43,543.5923725999771,582.7945983750215,472.66809499999266,611.258969375015,605.8678110000326,594.9945764999404,612.9541364999257
44,555.251226400032,588.807978000001,483.66079943746684,620.8963459999969,610.1854860000155,622.8652799999586,628.6615680000813
45,570.1181270499984,597.666234375,500.6815645625286,631.766215625,617.199421875,651.533625,645.4695
46,587.225750200026,618.5569320000119,514.5168599374962,643.7989085001042,623.5697520001046,685.2390300001351,676.37514000011
47,602.9935435000214,636.519273000079,531.6280144999843,651.9449037499961,633.7157576249772,631.1685300000184,627.7416000000799
48,619.7181136000202,657.9268320000872,547.7207704999798,667.1246719999954,647.4740160000897,619.9519199999842,624.926399999921
49,573.3665488000655,608.8293899999039,491.8717188125197,587.2823299999092,612.837599999889,608.1767999999034,611.023199999889
