"attacker_width","hills (80)","forest/jungle (84)","plains/desert (90)","marsh (78)","urban (96)","mountain (75)"
12,429.8277089500118,459.03528499999663,422.5032520000301,412.8644070769215,520.5406779999691,388.53431551998773
13,367.633552156194,406.9934364643438,455.9605796500468,447.978008076914,457.005790124948,435.94626510004764
14,408.1826946000054,436.0753542857144,399.7915047999863,395.41181723073333,495.5844485000157,372.2876578799661
15,365.04411375002036,397.8111214286111,447.7387050000179,343.6855153846032,443.0354172656239,456.7169250000207
16,445.4589984999422,353.7959241428407,409.98357239994857,436.44720615391157,486.57226799996874,417.4739680000702
17,406.4042376249519,433.58222767857575,364.0584551999274,391.6607929807867,453.15047550005613,366.54432079996974
18,359.12041287496083,396.6265642857056,442.19199200000253,340.2910153846316,408.6407246250564,308.169762600012
19,303.37820093752674,346.6653663392791,405.6044344999328,282.15274951927785,355.69533037495376,441.5730174599584
20,445.982775,305.0183535714149,365.9458,432.7594676923102,467.1034162499623,412.30652999993146
21,417.11586434993205,449.2136870000123,330.38675625001395,403.73536103846357,422.943091249976,377.7466647000041
22,388.22201125004517,422.1710347142811,441.1946259999943,368.222140692253,378.1801484375,340.7126641599567
23,350.07802830002066,391.1519928571617,445.3771968000012,332.0525260769362,337.796671484375,376.4531159999976
24,312.3010862499807,357.8219397142672,416.1925320000404,382.36525707690004,504.34968599998,398.2692359999593
25,391.90374749996204,317.9054457142954,386.923210000003,400.9629830769882,482.3284056249748,428.35683000005736
26,413.19934875007027,393.8287067142815,349.4856485999961,424.62387507698116,451.51574024997035,402.9207899999747
27,422.705292618762,414.44115128577744,310.8480880000363,407.796408461576,418.5580001875715,383.38895400000115
28,405.3801810000405,434.9510001428563,408.65354399995334,392.4790006154146,382.68587700006435,362.75448000003405
29,386.5050023250575,420.585790071431,432.57486900007285,369.4351299230228,343.25060043747413,340.81339715996444
30,326.11017187498226,358.15698000001635,400.3226699999709,308.156010000025,402.94967999996965,281.5757189999713
31,301.8800126437266,338.6124882321445,386.4150291000192,281.6991098077165,422.3811600000347,284.0710319999896
32,274.7745612000121,313.5462167142249,367.6490496000221,280.79125230774605,446.26489199999327,298.1638540000454
33,285.22442900001926,289.8339317142644,348.10369004995704,295.39060446158885,430.9706662499795,310.4473670000439
34,297.19155849998964,262.19622085716895,326.1568080000078,310.0555586153467,414.8145620625269,326.72593599994786
35,312.514249999956,292.14994571428525,302.85336000002434,321.8028799999541,393.20254781252095,340.6000999999713
36,325.2847124999786,306.32006914286836,276.94269839997946,336.5586101538864,372.2432235000313,356.3801100000126
37,336.6794732500635,318.1862851428355,293.5736650000528,348.04776769235605,348.5189922187082,373.22389000001533
38,350.58131149996683,333.27989042853113,307.2093979999741,360.73619876920145,324.69945018748,376.7225000000717
39,362.56714724995595,345.83247428572724,320.0033459999651,376.9239230769012,296.60850337505366,362.98620000004115
40,376.55721125003595,358.60812071426346,334.49366000002766,366.8838430769615,332.72264000002696,352.436079999958
41,367.9020672000499,371.3026778571083,347.70157500004547,355.06773015390127,346.55675100004436,337.3914999999709
42,358.7884757500094,384.91492471430473,359.35148799997177,344.99394876923145,360.4144239999717,323.72507520002637
43,347.66086974996017,375.70004782141564,372.99456199993284,333.7219106922669,373.8695209999325,310.1158493800547
44,336.7997978500306,367.2577782856709,384.6904320000166,319.8260338461114,384.5127960000164,294.4508685600148
45,342.63750000005217,376.04999999993595,421.7999999999227,324.2769230768636,421.7999999999227,294.89999999994586
46,327.0164999999456,363.20142857137637,412.2480000000475,306.6092307692945,435.9599999999683,157.37999999996558
47,310.6935000000425,349.6842857142909,400.87199999997586,289.421538461499,451.31999999995304,165.06000000003743
48,292.4684999999675,334.2985714286128,390.07200000005895,151.76307692308788,466.6800000000356,172.73999999999157
49,146.33250000001445,318.2442857143181,377.4479999999574,159.4430769230428,457.2074999999788,180.4199999999794
