"attacker_width","hills + 1 (120)","forest/jungle + 1 (126)","plains/desert + 1 (135)","marsh + 1 (104)","urban + 1 (128)","mountain + 1 (100)","hills/urban + 2 (160)","forest/jungle + 2 (168)","plains/desert + 2 (180)","marsh + 2 (130)","mountain + 2 (125)"
12,637.7354839999298,738.0059079999896,726.56260640003,588.1588751538586,748.6645964374602,560.361375840012,894.9215598500143,956.6041522857116,976.5799020000117,761.2222525846378,732.5033546560259
13,558.6827302499897,752.3281142856978,719.3227410000015,610.3228935384342,765.9593212108541,595.1374021799977,868.2756759094183,930.0349824821543,954.4884443000408,772.528945230865,752.4928806600283
14,586.5279889500067,785.2915988571341,718.4119600000201,540.1727760000363,667.15714765625,509.0815142799909,857.9304172499669,919.8866862856956,945.6714228000221,685.2016878460632,780.5575629840265
15,611.2975800000277,708.5821125000654,765.0746949999864,604.9688080047523,722.7095438085815,583.8547347500019,888.7908564843348,838.2527008928421,939.5172749999812,734.1477525000041,702.8444172000184
16,560.0952735999808,769.4000868571247,690.677003199986,546.9254490769763,777.3794065936836,514.613933679993,931.2774507499946,853.8170780000626,861.9670619999918,649.8489784616144,759.5956457600765
17,498.3939932000002,698.2853897142985,762.4580685000124,473.69517368748234,718.2208887813212,603.2987210700636,857.4687667811864,912.6028126785252,878.6960468250006,729.0369368538302,694.9874533199946
18,552.9485543000033,773.7008748570845,703.4730119999879,582.4976282308348,640.9149082813078,555.3659556000138,921.8331257625011,836.3054717856403,935.7553359999545,657.4971589384193,765.9917680800069
19,511.1638113749396,725.9913816785499,630.5109466000698,532.5519704711564,739.7583004686742,497.85174662999447,853.341708834412,918.5912949910617,864.5047434998676,751.0510244615845,718.7473068479314
20,618.522,666.791642857119,738.8485200000509,474.6111023076837,681.7350437499964,604.3085099999854,933.64404375,848.8687649999849,951.4722,698.1677538461082,658.7396339999646
21,575.3613968249231,761.1746262856662,684.5955371999017,599.6401013221367,615.7073283281424,570.6149740500016,878.8038164248707,943.792734571434,888.2327261250352,637.532135007671,751.8761511959557
