"attacker_width","hills (80)","forest/jungle (84)","plains/desert (90)","marsh (78)","urban (96)","mountain (75)"
12,427.9136936500334,461.41005199999626,544.2843606999625,407.587382384617,588.1057948749606,378.43793743996486
13,359.0605614311913,400.05479324998345,577.0320683500354,462.89929338460405,516.5456819999713,438.375749399982
14,430.4212437000012,466.61950200000445,516.1658682999861,413.63327769232006,567.510270687508,381.9210266399389
15,374.9363435625447,417.6806908928537,567.1312200000098,349.1906157691897,508.33257585936144,450.6939066000012
16,458.09690499998675,359.33534571429885,522.5870174999956,442.27096999997934,571.7021788125201,415.4208442000002
17,423.84946646876966,458.91462866071396,471.3780087000041,403.77890125002034,532.8236069062632,372.5739530000417
18,378.8636337500177,424.41111357138726,541.0603834999513,357.0547511538768,478.06338150000994,319.50062340001233
19,329.4767262499978,379.72206312501623,510.39359300002104,304.4481971153753,420.59143124999207,426.13016568003746
20,444.1236982499685,330.43918571432306,474.05906499995876,425.55228153844837,531.2903596874705,402.13689120008127
21,374.60116042502864,405.51617600002703,386.19595650000474,357.8217998846371,441.81817078125545,330.58061297999257
22,346.2797837499838,381.66090671423075,478.31189200002626,325.92936046153955,404.17481328125,296.26000859999715
23,312.0044724750196,353.5567474285902,485.5285808999927,291.20873796155314,355.7916860937457,342.6090690000233
24,277.0708062000215,323.62077657141145,456.86569469998227,345.8579815384452,498.428738562489,365.1955031999667
25,356.6096707500171,287.6019014285557,428.2465899999516,368.1043257692527,476.8745148437488,384.7613322000014
26,378.8324152500037,357.4466099999787,395.0775542999895,388.6112965384163,447.3701546562603,369.8369062799994
27,389.66950104374024,379.69226100002453,357.07272780000017,373.68991949995524,416.8463652187436,351.26714459999494
28,371.0455921499846,404.4877199999556,445.70691000006,356.3986379999964,385.2882816875006,329.7069652799963
29,353.89105205627715,385.548415124942,472.84810499998963,335.734492615365,352.2217665312767,305.63845979999826
30,331.98919387498427,369.51083357144404,498.8540700000217,309.46761230767504,445.07916843750456,278.6887902000129
31,308.8910188874814,348.95524087502514,480.4324424999746,287.9807450192115,470.9375676562374,288.8431338000432
32,286.3992072000539,329.8231894285659,444.1821012000314,285.41016923075,483.8723071875152,297.42803879999616
33,289.33586699998614,307.2527422500178,424.04070990000406,297.2050070769094,469.581452999966,309.54516780002285
34,302.88623475003214,281.4156717857088,404.2096254000402,310.131038076914,456.20777071876813,323.8425545999761
35,316.39710075004024,301.5390299999699,380.9072924999826,323.9300607692138,434.9015390625,339.6127038000453
36,328.7188034999563,314.8177380000195,354.205142100056,335.062765153898,416.0982654374978,354.19256580004003
37,340.9517849999452,328.0338630000153,366.1496325000398,350.5555730769465,393.18893025000847,372.13580339997094
38,354.6693584999588,340.7951700000423,382.04844749992037,365.6945076923565,366.8651411250451,373.35602760001586
39,370.10636999992647,352.0927230000298,398.5855875000679,382.3818773077114,343.8201104530988,361.98839819996
40,384.57962700005993,366.7853399999688,412.81242000003,371.98706423076686,376.13559843756406,350.2288673999659
41,377.5703055000237,379.4827109999292,428.04773999996587,360.27565961540427,392.6545382812981,338.290614600008
42,396.02350000003383,428.0200000000078,441.0696925000442,378.0407692306971,409.2822381249671,350.94840000007565
43,384.30849999993063,417.77714285717946,454.9028499999417,365.5330769230022,422.62843843745037,335.77240000002183
44,371.8914999999414,408.265714285783,471.5742000000895,350.9053846154228,440.5812553124819,319.84759999998107
45,357.37250000004735,396.6857142857903,485.45138249994403,336.95769230774806,451.98786656249433,303.1740000000752
46,342.1515000000389,384.4371428572253,475.5964625000134,320.8900000000156,466.772452343746,172.3540000000334
47,327.6285000000712,371.520000000017,465.94228749994545,302.7023076922727,483.43419249997,179.83400000001888
48,309.6035000000509,356.5342857143516,455.61553749997097,172.4438461538113,498.08935328119554,186.61400000001052
49,171.06749999995938,340.87999999992394,442.7415700000094,179.92384615382716,489.08259843745094,194.09400000002825
