"attacker_width","hills + 1 (120)","forest/jungle + 1 (126)","plains/desert + 1 (135)","marsh + 1 (104)","urban + 1 (128)","mountain + 1 (100)","hills/urban + 2 (160)","forest/jungle + 2 (168)","plains/desert + 2 (180)","marsh + 2 (130)","mountain + 2 (125)"
12,710.2674612499017,658.6815579999708,759.9280911999658,552.2976132980989,804.4422944843576,511.34699663998725,887.3821749500338,958.3420419999782,1079.7523800000317,819.2901294230613,647.6396716240595
13,623.2059517500245,677.6799542857914,766.8778832000348,588.0221975577327,814.6130351561961,554.3355074699496,881.8153935375207,954.5822113035971,1067.9029852999809,825.7370360383702,673.1074251600063
14,660.2589415500453,716.0229539999863,787.78633000002,522.5581495673381,724.8023092578812,478.3692123700128,892.9674467999873,967.3569719999653,1066.4682394500248,748.1502334615296,707.6890099679567
15,707.6436742499682,641.1134308928954,818.9066430000044,582.4697134855506,764.5689659765782,550.8382636249898,919.1433750468972,867.8475492856687,1075.7696482500266,780.7895537306864,636.1043324399774
16,645.6463146999921,705.6649531428726,751.9170688000168,528.9060308558066,797.9792604999775,485.0363258799973,945.7971424999974,910.7562457142943,987.9723360000369,703.2105244385193,692.3371500559326
17,573.5058600499931,640.5041354999687,800.9168809000106,459.95187742309076,744.2315581796666,565.9334455199994,875.8018802187256,950.2025203570934,1022.7012629999623,762.4143066692722,631.5302255760123
18,659.5977014000206,715.7741079999964,750.7701819999583,563.2120748364478,676.1564638906117,524.1714650700001,926.0088769874301,882.6724721428061,1057.6458880000237,699.1042828846356,704.3755929359345
19,603.2425543499374,667.2540602500053,685.1579207000187,517.6684137980699,749.4482492109963,470.2742469000178,866.619156384396,944.3478879375216,994.2886907499511,762.7793146807364,657.5429240640269
20,684.6550304999512,614.7180800000538,765.2416160000624,459.8013468749718,699.123839453119,565.1235134999598,925.729746749969,882.0007007142855,1049.793938250011,716.8655196923702,602.3247812400937
21,579.7374976500039,628.2296280000032,639.8350700000088,506.3762974519296,571.2438675195273,476.6558446499953,785.9819193749798,852.2426979999967,889.2988044750184,592.5022027384733,622.3047962279838
22,536.601832350008,588.7823987142708,581.2585680000142,476.70500139423416,685.1260528125131,440.9395942999918,728.4795705499905,798.1915441428293,822.8201152499976,702.0446095846538,583.3940137439869
23,486.4644939000008,549.3753000000014,700.3473554000141,440.0149577163469,646.4624920546399,399.66198284998825,822.1560538718717,741.8085900000112,920.2570868999751,663.4111791461463,538.7419127880047
24,611.7996895000095,502.2470691428554,659.2616248000111,400.5780371153858,597.6392812031216,355.1477896500244,785.3459675499929,846.9347480000008,868.3961146500009,614.5050905999916,490.52367153599914
25,583.1744166874796,449.2000307142794,615.5158459999883,356.10144444709704,544.5820331250085,502.86613824997403,736.6929298437628,809.3184118749996,811.9223052500166,566.1018618461356,620.9678211199778
26,551.4498422500259,601.7066599999871,568.7033493999886,511.4346523557509,697.9851947656158,481.9513942500145,683.8108144875954,765.13125125002,934.6603351500103,709.7132563846013,595.3543786799339
27,516.2021109374942,575.7910001785784,715.2868460000169,488.53027616345474,665.6743380664124,454.97811297000453,826.7502380812498,713.9882904375264,888.7311326250152,679.1993448076929,565.6769042400059
28,476.4326612499864,541.4869400000041,687.1343739999942,463.7696972115168,629.3279635937507,426.7652486200059,791.2883872500715,853.7335619999999,843.3709200000015,648.1641966538217,530.7492497600017
29,431.5739134374897,503.80891339288706,656.3089899999939,436.7652013845992,591.8888784374949,396.5979700800217,750.2553892312486,823.2130444821295,790.2359655999602,611.949827769217,491.8947716400103
30,611.1460884999711,461.89291714283667,622.9151799999835,407.5263804326677,547.9395051952862,363.6907154999566,704.6357497500087,785.6345410714418,945.0204367500124,569.8052953461289,448.749317520007
31,593.5176961500075,611.4822030000015,581.1815499999852,376.41440073076507,502.7625990624996,447.7837792499765,654.7234728750082,739.7000397321631,914.5647958500106,527.7895679230717,615.8806833599841
32,556.0353797999933,602.3786794285919,527.9051979999725,445.841779557712,685.0862643750214,465.48306675001356,813.5872800000108,684.4041591428587,850.9824258000298,672.5594349230747,597.2435077200115
33,534.4668028499817,581.7679379999505,672.5758869999919,466.73495766348356,660.1734517031358,486.75955349999117,784.603522171888,635.0968260000435,813.3141088499959,673.5063667153984,575.6105721359941
34,505.3472383499655,561.0995489999909,689.8447182000548,488.29547968272436,640.4404719141326,484.7466417000194,757.8472428750357,824.0164446428262,772.4984879999762,655.068883361514,551.5545039839869
35,475.31930549997213,537.5356949999642,668.3627040000008,497.6780762740789,611.4250228124432,468.6641741250214,723.3106322811776,797.652736875027,726.3303749999994,630.2172869999933,526.0731390599844
36,440.96192460005415,508.40508942856167,648.5461796000056,484.0930738845256,588.2762675156371,448.8298350300231,690.370080750038,768.2647842856871,923.4798480000209,604.9115218384909,496.4369761440197
37,534.0731212500174,479.43240342857587,620.8097598999767,467.357672004822,555.3078772499967,432.1701269700101,655.85129489063,737.864372812492,898.1251432500031,576.0505181538388,467.29618300804293
38,550.2112484999841,446.4957899999689,593.6350643999866,449.29674675001996,522.3392779218752,409.61327559003144,616.76878556254,703.8380260714335,868.5764287500147,545.0016157384547,435.07890727198526
39,576.443849999969,550.6508579999903,563.1586916000012,428.00097370674536,487.11380036717543,387.5959901550368,574.8086958749967,668.1913320535599,842.0916341249438,510.3719648077026,553.908597240045
40,599.0963414999611,571.3094999999907,530.4630759999977,406.1012568750462,645.9580229297625,362.9143837500036,818.7250462501036,630.5501700000189,810.2699160000057,631.5294429231183,573.8783144399684
41,587.0624595000036,592.9692270000769,497.000506400006,385.39412844227945,671.3731088672954,371.68737824999897,798.2198219999865,808.6625699999273,772.0686667499872,656.9894035383836,594.7774550400634
42,581.6600235000263,627.9242280000046,639.3901480000327,381.5703162115261,677.95465558593,390.0416477499594,780.7065524000342,842.5095799999749,736.7380110000635,668.228269730741,620.9517464879816
43,564.184752975069,613.5246350356999,662.2211240000103,390.3828779904293,687.2207090624865,404.4401687499574,756.7408938125188,822.7261456785059,700.3821861250012,687.9128833846393,604.7660269680568
44,546.1643299500345,598.834860857155,683.1817480000308,403.4041857981237,672.8678872264977,418.9973167499536,733.624364449981,805.4723982857524,900.5678579999883,686.0149247307827,590.9178721679633
45,525.7173215625113,581.6289546428512,703.4381580000527,416.4099627404484,656.3771534765688,433.8679064999953,704.693932375014,783.9952489285944,929.0818222499946,671.6261823462006,573.639200519916
46,503.5645945499679,564.625901142927,691.164885999978,431.5597250000021,637.5482349609553,449.9409657499463,676.9955239500545,757.5186205714847,910.9244432500465,654.8495820000103,556.3896952079565
47,482.94540408749515,546.8472195000122,676.5519260000274,447.30799086543414,618.8359252733893,465.8548824999704,646.3703094749983,732.6586769999876,890.8306684999943,636.1561951153692,533.0729868239732
48,455.5087775999845,524.686400571421,659.3794460000187,459.9700799038604,596.9142168749487,479.86278474994197,612.0885291999858,704.4239745714282,869.9041130000379,618.1941619615469,513.8288525999653
49,464.34741524993285,501.7373190000459,641.4767539999424,474.7430873077239,573.5865202733806,494.0052764999236,739.9309185000545,674.3786987499894,845.1128607500589,592.9907665384804,490.7375218560067
