"attacker_width","Coordination = 0 (35%)","Coordination = 5 (40%)","Coordination = 10 (45%)","Coordination = 15 (50%)","Coordination = 20 (55%)","Coordination = 25 (60%)","Coordination = 30 (65%)","20w pre-NSB rules"
10,933.82,961.18,929.5,940.48,947.8499999999999,954.7,923.7449999999995,913.72
11,903.6631593750001,877.4120625,889.5980390625003,908.1443906249998,875.7185812499999,907.7055562500002,888.6501328124998,855.435
12,854.9351800000004,850.5050399999999,855.1133599999997,826.1370999999998,866.9694300000001,856.8051200000006,859.4562199999991,810.2639999999999
13,830.6828471875008,847.5100174999997,825.9657075000001,854.2560624999999,837.4972015625,859.4132850000009,848.7814443750005,793.6414750000002
14,857.8317300000001,877.9022400000001,848.73852,866.0896500000001,875.6963250000005,853.47564,872.9439600000014,836.2788000000004
15,896.3581484375001,888.838125,908.3921484375002,877.2138906249995,865.0877734375,890.2613124999999,890.5596875,877.959375
16,931.8203999999998,949.9054,937.2343999999993,925.3599999999996,938.6540000000002,923.4203999999997,943.7020000000001,919.5880000000001
17,849.0968218749986,856.1140750000008,860.7203374999995,861.5172499999999,845.1039875000001,853.1666625000004,837.97633125,797.0497499999999
18,881.3017875000008,894.3302999999994,906.8282287500006,898.7593499999999,900.4166999999999,909.8467349999996,904.2189187500001,896.8839000000002
19,847.1791734375001,873.2236800000011,858.6617325000001,865.4797875000007,838.6386749999994,848.2110787499997,843.9830137500005,774.7241249999995
20,770.22,806.76,792.72,831.15,837.045,873.42,868.395,890.1
21,738.8235849999998,758.6609399999999,764.6818499999995,795.0405500000002,828.4342325000001,814.3213599999998,850.3831225000012,832.8474000000001
22,662.17357,689.8867200000001,711.9774799999997,720.1696,743.83527,733.62788,759.5320599999999,736.3191999999996
23,790.0542690625002,778.0838025,794.16668375,806.5701249999997,836.9903009374998,868.6870074999997,881.6310262499999,879.217425
24,741.9253199999999,761.7969199999986,754.4414800000002,814.0011999999997,810.1785599999998,807.9675200000014,828.2193200000003,810.5255999999989
25,705.0085546875,694.4614999999999,738.8816796875003,744.69621875,738.1890624999999,774.34796875,782.7835234375001,742.92625
26,645.7490099999999,656.1041999999997,676.9047562499992,698.0340749999997,711.4359975000002,711.6383250000006,723.3922499999998,649.6811999999995
27,764.6315043750002,781.2164699999997,813.454335,814.5861562500002,863.6092856250002,831.3877049999996,881.5507518750002,912.1800000000006
28,740.9441999999998,754.5674400000006,785.1644100000001,777.9582000000003,811.9598099999997,808.5313199999999,832.7132399999999,827.5799999999991
29,695.7349012499994,712.5934800000005,733.7841637500006,732.0956437500004,746.4349293750004,784.53189,787.7092181250005,738.3259500000007
30,619.4448749999999,651.4079999999999,672.4211250000004,692.1311249999998,730.2841874999996,748.3154999999997,789.6605624999997,667.41
31,580.5745818749994,592.8527100000002,619.7289506250002,659.49961875,692.4207806249998,700.4803349999997,738.2611162499998,596.2451999999998
32,741.8345999999998,775.9164,791.8482,810.4799999999997,854.2200000000005,869.8901999999999,921.4236,977.7
33,724.3627390625002,750.3188874999998,742.1894437499998,817.2159218749995,841.8679468750001,846.6824625000002,857.5394187499998,920.85
34,696.8419937499996,721.7840000000003,763.4764499999997,775.7280625000006,814.5991812499998,826.5130500000002,844.2198624999999,859.6
35,665.7151171875,700.1353125,713.666015625,735.6483281250003,762.5206171874999,789.7341562499998,825.2559140625,768.75
36,636.6234499999997,652.2915999999996,681.9580500000001,720.39125,732.99385,762.4097999999997,772.132625,700.8
37,605.3277999999998,610.1914625000001,638.880459375,662.870546875,679.1875671875,715.4126624999999,742.3447703125001,622.15
38,553.9486687499999,597.6648000000002,593.2962,630.5053125,647.0140312500002,686.8572750000002,709.8390375,1005.3000000000018
39,519.2551953125001,545.1170125000003,563.5093546874998,584.4184999999999,609.6929734375004,627.8667937499996,686.3165562500009,1053.1999999999985
40,748.1739999999998,761.4039999999997,801.094,862.96,883.9500000000008,937.888,980.5599999999997,1094.8
41,701.2717774999998,752.6667600000004,790.1200637500007,818.3055875000005,864.3460000000007,919.9339999999991,951.1140000000004,1044.7199999999991
42,697.3961399999998,733.0743200000003,777.0801349999997,795.7482999999993,832.8869999999998,885.3119999999992,934.6699999999997,1005.1799999999977
43,670.2354599999999,703.40146,728.3201900000005,781.0319374999999,821.5170000000005,869.2180000000003,911.1410000000003,965.6799999999992
44,647.9607399999999,683.4753599999999,703.42016,753.5494000000003,784.7279399999996,854.7800000000002,863.7279999999997,894.7200000000007
45,623.995,651.3947499999998,689.5496874999999,726.675625,775.8322812499998,795.0919999999996,824.6180000000002,792.3
46,595.4944650000003,646.2416000000005,648.4672350000012,678.6436999999999,724.9296400000005,749.9009000000007,796.1079999999998,721.4200000000008
47,567.8691937499993,601.7746199999998,633.2048399999999,679.0051500000002,696.2394374999998,756.3545849999998,745.8779999999996,1003.7999999999987
48,548.03048,575.8212,605.5027600000002,628.3703999999999,635.8782399999999,693.8163200000007,722.9900799999997,1043.4000000000017
49,641.2755000000003,697.6950000000006,719.922,765.0510000000004,809.3279999999999,869.9700000000003,897.8940000000001,1055.7000000000016
