"attacker_width","hills (80)","forest/jungle (84)","plains/desert (90)","marsh (78)","urban (96)","mountain (75)"
10,394.7,382.40625,495.06,361.39421153846126,511.05549375000066,339.8311420000001
11,338.01029999999963,382.0066500000009,411.9650099999999,306.6504170769233,515.5611515625004,376.01963200000006
12,360.57313,421.6346000000005,418.86483999999973,335.8923538461537,538.8028000000007,309.5858960000003
13,281.1861424999997,352.3576124999996,460.04009500000006,366.3503769230767,482.2768499999999,350.28962999999976
14,336.83638500000006,404.03700000000003,393.8329600000002,338.6164846153848,485.87898125000027,302.82304799999974
15,290.06521874999993,360.425892857143,450.2879999999997,280.0737692307695,446.2387968750004,365.6910000000004
16,353.7327999999998,318.3394285714287,414.75396000000046,347.97569230769244,514.7160000000001,314.6493999999998
17,327.0306531249995,397.1433035714283,341.9217599999993,309.2361250000003,451.0549875000005,278.56916000000035
18,288.76261249999936,362.2267857142854,418.2811999999995,273.8106923076922,415.4595000000005,238.2673200000002
19,252.72559062499994,316.4901874999996,412.6419499999995,233.1113557692305,341.0857031249998,329.20435199999935
20,356.28,255.13785714285694,365.5,339.15661538461535,465.1754999999997,335.23199999999963
21,330.01815000000016,367.6576999999999,318.70582500000035,318.9728615384618,418.7593671874996,285.87007200000005
22,322.9335699999995,346.89624285714314,386.596,274.60154615384647,378.0125,255.46634799999995
23,281.91957750000006,323.92342857142853,421.04664000000014,255.07307692307674,331.174765625,299.7099000000004
24,248.66451999999975,298.9956571428577,378.26447999999976,305.4357692307686,470.0700000000004,310.80240000000026
25,310.88549999999964,269.71128571428545,366.7592499999999,319.5507692307689,457.7299374999995,343.9200000000005
26,326.72640000000035,333.5232000000004,326.29079999999993,344.22276923076936,415.4506500000005,339.90202800000077
27,349.8174224999999,356.9696999999997,307.70193999999987,315.31595192307714,353.2599624999998,328.5213119999999
28,337.1307300000003,384.1415999999996,384.1415999999998,305.2910769230764,367.4483999999999,289.1982000000006
29,307.7687024999997,373.4647767857139,403.96800000000025,287.20532884615375,313.59290625000006,249.59919599999984
30,282.88125,333.9264642857147,450.24,261.42369230769185,455.4,216.00690000000023
31,250.75330125000008,336.96911249999937,418.70128499999953,231.67610192307725,454.2719999999995,266.40019999999976
32,228.9589200000003,313.2925714285718,403.8510000000004,266.97609230769194,484.41240000000033,281.3088000000001
33,280.5255999999997,272.8865625,392.8171500000007,281.7951999999998,464.2614421875002,288.2913999999994
34,271.14039999999983,247.8568071428568,353.4508800000004,299.41581538461526,431.7284250000001,299.2623999999995
35,302.6809999999999,292.79600000000005,314.21362499999947,293.71884615384636,445.3530468750004,314.1770000000005
36,318.1248000000002,311.7312000000003,295.13088000000033,356.0350153846157,403.88527500000004,321.8183999999999
37,322.95000000000033,316.0758000000003,309.2016000000003,320.79055384615424,376.29451406250047,348.12479999999994
38,326.01760000000024,311.3440000000002,333.3544000000004,340.8174769230767,343.03629375000025,331.2343599999998
39,348.64999999999986,364.2487999999999,359.0492,353.513276923077,320.39496093749955,348.69386000000026
40,315.2000000000005,315.2000000000005,315.2000000000005,302.9230769230773,315.2000000000005,283.4799999999996
41,304.089,331.5600000000005,331.5600000000005,290.05538461538504,331.5600000000005,269.4016000000002
42,292.27600000000064,347.9199999999991,347.9199999999991,277.4676923076916,347.9199999999991,253.57440000000025
43,278.76099999999957,336.8771428571425,364.2799999999995,262.15999999999985,364.2799999999995,235.99840000000032
44,264.5440000000006,325.1657142857146,380.63999999999965,246.1323076923073,380.63999999999965,218.6735999999996
45,248.625,311.78571428571394,397.0,229.38461538461578,397.0,198.59999999999997
46,231.00400000000047,297.73714285714254,387.048,210.91692307692247,413.3600000000004,127.42000000000006
47,213.6810000000002,283.0200000000004,375.4720000000008,190.7292307692308,430.7200000000006,130.19000000000008
48,193.6560000000002,265.6342857142854,362.2720000000003,132.7600000000002,447.08000000000106,132.7600000000002
49,135.32999999999996,248.5800000000005,348.4480000000001,135.32999999999996,436.20749999999947,135.32999999999996
