"attacker_width","Coordination = 0 (35%)","Coordination = 5 (40%)","Coordination = 10 (45%)","Coordination = 15 (50%)","Coordination = 20 (55%)","Coordination = 25 (60%)","Coordination = 30 (65%)","20w pre-NSB rules"
10,460.46,469.64,449.84,460.16,462.7710000000002,441.38,459.5880000000003,462.62
11,403.33336999999983,392.1086399999998,391.4455200000001,393.75085,391.5985850000003,399.1189999999999,386.75580000000025,349.2599999999995
12,412.4460200000002,416.7441599999996,419.1566800000002,408.89539999999994,404.59106999999983,417.7681600000003,405.7534599999999,395.6736
13,344.97516062499994,361.43523499999975,352.9983068749997,355.7397125000002,353.7398737499999,341.14139250000017,360.5731806249998,308.77475
14,406.14892499999996,431.45532,408.12702000000024,407.19300000000004,417.8902350000002,420.1504200000004,414.7525200000006,402.4104000000002
15,356.5001250000002,348.08400000000023,369.46040624999995,370.3565625,354.8573437500004,355.4865000000002,361.5314062499998,293.6925
16,440.85719999999964,434.06659999999994,433.19199999999984,462.46399999999977,447.0160000000003,432.0119999999998,453.4838000000002,439.18399999999974
17,396.63722187499997,407.71535000000034,417.90519062499965,430.28734374999965,408.2871437500001,412.7389500000001,410.9556375,393.05174999999974
18,369.37690000000003,364.23429999999985,367.6986499999997,363.29937499999994,370.03973750000006,365.0734999999999,373.8737625000003,324.1500000000001
19,328.67549062500024,316.58117500000003,323.3127500000005,324.38328124999987,316.66671562500005,326.04596250000037,325.2107312500003,410.9140000000001
20,368.85,384.84,397.485,381.9,413.31,421.08,414.66,430.8
21,344.3078074999999,360.5839199999998,368.7991649999996,384.62545,387.6439674999998,393.3610999999998,399.4000700000002,388.5864000000005
22,302.96774,333.5157599999999,324.40035999999986,345.9755000000002,355.03842000000003,362.12283999999994,377.85913999999997,350.1439999999995
23,288.13975000000045,292.8969200000003,294.66260250000005,302.1137500000001,323.9277275000002,325.0158600000002,344.9220349999999,298.9139999999998
24,256.8835199999997,255.10940000000016,270.4354799999999,272.85999999999973,296.4907200000001,306.16432000000015,313.79096000000027,374.4
25,337.0649999999998,329.5859999999998,353.5860000000002,346.98300000000035,368.46600000000007,365.07600000000036,385.995,395.1
26,350.81339999999983,355.80240000000026,351.1236000000003,374.5979999999999,392.04900000000004,389.1983999999998,403.1916000000003,422.09999999999985
27,356.71228687499985,367.3248450000003,382.5321956250003,386.44605000000024,401.06284125000013,407.04606,414.0578325000003,423.54000000000013
28,343.30071,357.68856000000017,356.3647800000002,356.8311,390.8313,397.4625600000002,413.00676000000016,398.0399999999995
29,330.8737724999997,327.47561999999976,354.6454612500005,357.65606249999973,358.76128687500017,372.6254325000002,380.3230331250003,362.88090000000034
30,304.48368750000054,306.53399999999954,326.29218749999995,352.7759999999998,361.1403749999996,369.2692500000001,411.8812499999998,305.34
31,273.71108437500004,298.5457949999999,310.84161749999976,313.87012500000014,326.0743518749998,348.79108500000024,370.87172812499955,283.98375
32,254.28335999999996,259.25519999999995,298.6087199999996,297.18360000000007,309.39084000000065,319.67580000000044,336.8260800000004,364.19999999999936
33,256.6970000000002,267.32200000000034,278.0772000000002,301.2110000000006,315.0427000000004,331.81560000000064,344.0270000000002,389.2000000000007
34,266.6290000000001,284.6336000000002,292.05120000000016,312.7059999999997,305.6467999999998,342.8039999999999,339.496,407.89999999999986
35,281.81699999999995,297.1320000000002,297.97499999999985,330.135,330.7470000000001,355.4039999999996,377.5799999999999,409.8
36,297.33319999999964,313.2208000000003,316.52279999999973,333.4220000000002,362.7279999999999,347.31000000000023,383.37799999999925,434.80000000000035
37,310.1490999999994,331.54400000000044,335.48159999999996,331.9210000000001,359.8880000000001,382.04999999999984,412.90000000000043,466.0999999999992
38,326.5878000000004,326.63880000000046,347.13179999999977,355.9859999999998,384.11999999999904,420.20400000000024,431.6880000000006,482.7000000000009
39,333.5111,345.29440000000017,357.8412,383.50399999999985,385.8280000000004,410.2050000000002,439.2859999999995,495.0999999999994
40,358.40000000000066,383.5999999999993,408.8000000000001,434.0,457.8000000000004,484.4000000000009,509.5999999999991,553.7
41,349.44700000000006,373.96800000000053,398.48900000000066,423.00999999999993,448.9309999999995,473.45199999999954,497.97299999999996,497.1599999999996
42,339.9480000000001,363.7119999999996,388.87599999999964,412.6399999999996,436.4040000000001,461.5679999999995,485.3320000000003,474.23999999999893
43,328.5030000000004,352.8319999999996,377.161,400.0899999999994,424.419000000001,448.74799999999965,473.0769999999998,451.3399999999996
44,317.9120000000002,341.3280000000005,364.74399999999946,388.1600000000004,411.57600000000036,434.99199999999905,458.4080000000006,426.36000000000035
45,305.375,327.7999999999995,350.22499999999934,372.6500000000007,396.4749999999993,418.9000000000007,441.32499999999965,401.4
46,290.8919999999999,313.6480000000008,335.0040000000006,357.7599999999995,380.5160000000003,401.87200000000024,424.62799999999964,338.6600000000004
47,277.2629999999993,298.8719999999996,320.4809999999998,342.0899999999999,363.69900000000047,385.3079999999998,406.9170000000007,310.7999999999995
48,261.6879999999994,282.0720000000001,302.4559999999993,324.2400000000007,344.624,365.00800000000083,386.7920000000006,321.2000000000005
49,135.38999999999984,148.7399999999998,163.92000000000004,179.1000000000001,194.28,209.4599999999995,224.6399999999997,331.5999999999994
