"attacker_width","hills + 1 (120)","forest/jungle + 1 (126)","plains/desert + 1 (135)","marsh + 1 (104)","urban + 1 (128)","mountain + 1 (100)","hills/urban + 2 (160)","forest/jungle + 2 (168)","plains/desert + 2 (180)","marsh + 2 (130)","mountain + 2 (125)"
12,763.4910440000092,733.7934605714428,797.6438520000478,637.6304965384674,753.0661915625614,595.137304799955,926.1498223999973,1067.4303202857297,1155.4708380000309,837.0803466461714,725.6730290560104
13,685.2519401250593,742.6714571428095,796.2718351999999,650.9979906154728,763.1412185937538,620.0084896199621,911.5682966062475,1046.070157035763,1133.7014985499518,835.8667122308522,735.5162395799791
14,705.7903342499158,763.9806651428589,808.583149999982,593.0438780768873,679.3185959374559,550.0396079200176,915.0651310500065,1042.1511977143205,1116.8675592000357,762.3029194615533,755.4788261280263
15,730.5937679999606,696.4790223214085,828.8166060000071,629.0154052885431,718.1172975585898,593.4682678999885,930.5737645312506,953.4307987500312,1110.1551029999846,783.6395718462774,686.3659756799696
16,605.0810624000009,659.4861425714328,685.5933360000059,518.2927024615228,675.2641600000023,479.3255030399983,850.7096480000108,869.3777108571461,923.8467096000061,641.3696634461484,649.5393152960052
17,537.4618439999879,601.3053456428571,733.9040574000169,457.7938232547973,623.1594360624442,553.9165021199844,787.9965733438331,904.4163260713948,958.2487460999886,693.8228203230798,591.2279249559942
18,616.533123650003,665.4912754285544,678.6706229999908,541.3409355000072,556.7311268750045,509.5535011199978,833.4639445500013,837.2515953571393,998.4369540000291,636.8562321230756,654.2131515920022
19,565.023424237498,622.1208726428392,621.8290344000098,500.9648813653877,638.7364486367162,458.04660854999116,776.0524050281479,895.0873385892879,928.4121120000115,714.893760261533,610.6716493280145
20,653.7001860000399,570.6060871428454,706.9813840000501,446.3133230769245,590.685099374991,559.8532811999548,844.0262399999101,836.5580742857172,997.8112800000439,664.2140512307465,560.4707908800135
21,615.9030513749981,665.5860188571507,658.4136112000033,555.9640751442358,535.0506948828036,526.602393149995,793.6372871249873,916.730547142852,944.0916279750004,609.0358623000002,657.2841051479877
22,572.9661878999922,627.1957161428535,601.6575423999942,525.8785657692421,642.857959125001,491.1312473000123,739.5278942000136,866.4033747142958,873.1594271999987,717.1395051230708,619.5554255040124
23,521.3686520249975,585.31344942857,719.0171981999899,489.4175039423096,603.3953128828117,450.54944909999995,840.0821217125166,810.3292979999978,971.874170100006,679.1815691077082,577.6584926159973
24,630.3574439999784,529.6778931428764,660.4892640000021,440.7394361538345,548.7890219999757,395.2033272000519,775.5065447999954,883.6362128571443,887.291255999994,614.1596488615384,516.9326618879876
