"defender_width","Attacker width = 16","Attacker width = 20","Attacker width = 27","Attacker width = 30","Attacker width = 40","Pre-NSB attacker width = 20","Pre-NSB attacker width = 40"
2,66.52197078788555,66.80613030302398,56.70747430302632,62.79495539394706,61.93619066667579,72.23116775758388,67.62514145455336
4,56.47403502222158,58.78401946666635,50.46963780740861,56.35445688889063,55.541354133332916,90.63709013333852,91.13559608888093
6,66.07310900000115,70.1556481153914,60.765713999998816,69.36294146153436,69.30449019230464,104.27070669230983,110.83499699998815
8,74.15450479532167,79.64980070175322,68.57204547368404,79.76151611695646,81.12973992982718,113.45787396490445,126.81534877193866
10,83.23146699999974,88.90829999999993,76.09436755208188,90.297800000001,92.92607916667001,120.79100000000001,141.86866666666668
12,97.1378393548391,101.93126129032433,86.23910268145136,101.99098387096726,104.25732580644618,129.70728387096491,157.503870967743
14,106.17862836805399,114.1874919270897,93.3830294596342,109.82030329861527,112.38981067708741,139.90360937498627,168.6898020833509
16,114.86142651515127,124.05007159091701,100.70999811789584,119.26286931818073,121.56325909091728,147.46494545455275,179.3960000000154
18,142.04698933901935,134.86441023456533,111.12289433635276,130.3870324093782,132.46075618336062,151.6973948827338,191.36872196163372
20,154.26780921569008,147.21966911764707,123.86231456801255,143.56691911764509,147.01791176471164,165.6154411764706,199.2683823529412
22,161.4232921256084,169.3171021739163,128.18715167571875,151.93574371981308,149.38883768116273,173.6052173913346,212.85117681162595
24,168.13702571427336,188.27231999997448,137.2941578571509,165.1616771428599,164.1000428571522,187.95298285711706,212.74690285714027
26,175.4578214647766,193.59462042250752,142.37578705987067,170.32707957746632,167.94533450705262,198.0848873239437,226.34305633802813
28,189.3705361126682,202.7085718310159,168.8427655809715,179.22708450704312,184.53158873239585,230.38554929579118,241.91408450704853
30,194.13957138888264,214.4646875,182.44251879341047,192.17601388888892,194.30989583334565,214.89677083333333,223.05677083333333
32,201.25999388887283,223.88335000001211,189.33799672308666,221.06317777775376,199.72959166665655,231.0641277777496,243.23581111107387
34,205.23347356164774,232.0670958903833,194.97722033392347,224.84106027394586,204.62043287670923,246.50155479451058,262.38165205477657
36,222.05265383561814,245.68873561640703,205.68082607022802,236.08002602735962,215.4542753424617,274.06553424660177,281.47167123291615
38,247.70231360729346,265.0769863013534,215.02589740297793,278.1787762556944,248.60295890409452,264.8420547945044,275.79572602737244
40,231.01649585586046,254.40324324324325,206.03320706645036,263.76306306306304,236.03416216216436,252.27405405405406,265.60756756756757
42,239.888475450436,257.8005128378753,207.65146610361373,270.80085563067723,269.55819324327547,263.06386216218374,272.8116108108365
44,250.8754120720875,264.77084324324505,218.3142070664259,279.21284684684605,274.8682810810877,280.63710270268353,280.4189405405761
46,264.3144331531662,278.1628560810864,232.6571958333324,289.4657360360827,279.81888581085724,308.14329729735846,304.58801081086045
48,275.6401228444528,291.76960000003845,244.08753763888294,295.8029368888889,289.08334933337346,412.8769599999882,413.9967999999491
