"defender_width","Attacker width = 16","Attacker width = 20","Attacker width = 27","Attacker width = 30","Attacker width = 40","Pre-NSB attacker width = 20","Pre-NSB attacker width = 40"
2,2935.0399999993715,2842.239999999443,2754.9644999997067,2572.890000000354,2720.640000000367,2874.2399999994313,2746.239999999481
3,1457.0281539449786,1382.9296591250695,1291.7564617799949,1134.5823860550056,1224.9832865499936,1828.8693505199105,1744.6992119195331
4,1168.8898327999982,1128.818564399995,1069.3978728000022,941.8550940000689,1027.868200800046,1686.691891200057,1669.264379199985
5,1083.2791800000111,1048.7144120000032,1016.5344840000021,903.5995500000062,995.0316199999913,1575.632598000073,1608.902758000125
6,1028.4340799025024,1016.3907101025684,974.4958304774912,869.6111483925193,975.5432828225307,1493.181999299858,1562.2234730203154
7,980.85752986812,969.1239455062595,945.7807327481786,836.0268021956307,954.1985674675001,1398.131730660006,1508.2821778371442
8,926.5379263999946,921.4635792000092,911.7794807999325,798.0682248000172,931.3487704000011,1310.1671807999528,1456.476073600066
9,906.8493112199513,894.6372881600015,889.7188949397972,777.1406857200053,914.3583702400159,1253.1704527200764,1420.5657908799753
10,870.5251079999184,861.1283600000037,855.9219599999838,750.2075062500023,894.6446500000324,1165.5606,1366.8337
11,910.0075182499988,875.8754906250647,861.8268618749114,741.3677118750028,893.5225482812656,1165.53905625,1364.695525
12,914.4915350000085,876.4028849999696,857.7856320000317,744.0668887499802,886.5396450000042,1155.8099279999753,1352.2776760000065
13,908.1585650937444,871.0526928750178,847.6058736563594,737.8944370312407,882.1813553436957,1129.773541124994,1333.854093250145
14,893.1445940000032,889.6886340000291,844.763223000075,730.153123499992,871.2283169999944,1084.08642599997,1301.9400640001722
15,874.6600535937456,871.6531453125,829.2862346625553,716.2464356250038,856.4106220312782,1022.584265625,1258.198046875
16,851.4862880000096,845.0803199999059,805.6001446875074,694.9045387499942,835.158360000023,934.936320000039,1197.6889599999847
17,968.7723393124487,873.2485134375835,830.1454658249255,715.6961493750011,855.8132781250602,1012.3179974999377,1244.4207475001665
18,948.6326779999973,834.276837000081,799.7700230999174,691.085105625006,820.0728006250654,921.714325499836,1158.3114444998164
19,968.8953127812105,858.9992103748499,845.6241647812554,709.0794487499962,844.6208253437323,965.2808876250299,1207.8960163752029
20,929.4535759999661,816.42,807.8014691812687,674.8019231249906,803.9121999999745,909.669,1097.551
21,948.8217417499956,925.3955362499701,823.6029974062496,705.5814007500052,816.6481012501037,938.1236609998862,1140.0868899998945
22,972.0135230000407,945.666813000054,847.7934472500032,728.0805228749944,844.3036679999929,969.1582080001064,1188.075376000098
23,902.4897315312637,901.7539181248624,784.5582865124835,673.1767904062434,788.0294132811848,902.9793180000847,1035.0441298750195
24,922.996357999973,917.6072099998435,802.1600483624864,686.104732875006,802.683107999977,931.5630479999043,1072.8556479999868
25,947.706451062472,938.98885546875,825.0031088250232,704.7000070312489,816.8589984376132,961.606959375,1121.536253125
26,975.8431628750022,955.4948936251568,851.317386787463,723.283974750018,839.843788500018,999.7915784998739,1172.819564499832
27,859.0312156249762,878.1266923125776,770.4382857750326,647.4822883124891,791.5984851249988,881.3622517498425,956.3796234998574
28,879.7261910000207,893.3365110000341,871.581601387562,662.5316069999932,802.6731789999766,910.6381560000412,998.8567480000123
29,900.9517422500215,909.2105386874164,883.430591024982,678.9924384374997,820.1253461875157,943.1170027498664,1039.2388232498806
30,930.3151759999947,935.0641125,898.9754934562264,699.1762593749964,831.8018350000212,978.367575,1089.1612
31,962.5670281250009,956.643716437614,915.1283603062675,798.4959277501312,859.0514621874831,1021.4407784998348,1136.657187999833
32,810.9356720000492,821.7700799999984,835.5310812749826,710.391069374972,754.4471200000039,817.4008800000033,844.9523200000139
33,828.9873594687991,833.34878484375,842.689230731233,721.0117776562208,766.5490712500031,846.597253125,878.002496875
34,836.1839048750072,853.9486949999973,855.643757400006,733.175932500028,779.2893325000144,878.7902249999988,913.055027499928
35,849.618961624988,871.3628203125,871.0203637874765,744.06375,792.107738125003,911.083134375,950.8845625
36,870.7809230000545,895.0508099999944,887.1111559125027,760.2502725000271,809.4175900000158,951.2571000000032,998.5048299999627
37,901.6282873437876,918.2046084375035,904.1029373625136,779.0935865624738,827.3400460937488,987.4946324999956,1043.3467168749469
38,935.8427228750386,940.7099175000027,923.3975259000234,796.1486324999752,848.0680037499933,795.1991999999545,833.4526599999009
39,970.3627297813002,973.0355793749942,943.9603782562481,815.7903815625251,869.4471240625215,783.0198899998742,821.6086599998787
40,784.0355360000052,772.6872,777.0416433562278,641.435709375,720.0468399999902,770.9376,811.8472
41,794.3022402500519,777.3471468749804,788.3452657687777,653.1274751250545,815.6895381249382,786.1823324999057,823.2109059999067
42,806.8087910000065,785.2120950001132,798.4883199187608,660.8422620001311,823.3819840000975,799.2878340000635,833.0702260000993
43,817.8537957499838,797.0988101250173,810.3759817124948,676.4383372499453,833.688841000068,814.501681499919,850.0628499998827
44,836.8569620000056,808.1141939999878,828.6275089312397,691.3641247499102,836.2945480000412,849.611904000017,857.1300160001168
45,851.1219053749973,819.693140625,839.8700003062261,707.373890625,852.42131875,886.4619375,880.870375
