"defender_width","Attacker width = 16","Attacker width = 20","Attacker width = 27","Attacker width = 30","Attacker width = 40","Pre-NSB attacker width = 20","Pre-NSB attacker width = 40"
2,44.66701966666659,42.27874460605973,39.859507636364675,35.917903090906336,39.156363636366805,68.25555072728112,65.58501024241795
4,56.92867431111054,56.0554694666664,54.61891880000436,49.21258600000142,54.96533333334022,87.44635786664911,89.47433795553935
6,66.69876570329636,66.31696287362041,64.87924945054426,58.37049768131802,66.16403799450217,100.70574956043886,106.36235707694341
8,78.08046849123133,77.88964715789494,77.30477031578377,68.5741995789477,81.98877192983298,111.49903494737467,125.69503887718068
10,88.3139249999905,87.88302083333653,87.63811874999448,78.69481523437513,94.91666666667311,119.3601875,141.00010416666666
12,102.14255829493187,97.5173495391711,96.0371557603644,85.2952550115164,100.57596082950884,130.79013732716996,154.32028663593178
14,112.85750143229173,110.97155742188455,105.06297734376477,92.91629062500185,110.89399804689032,137.8592546875067,166.95384739585606
16,124.19046303030164,122.73558181817873,117.63077770454177,101.25675511363899,129.4545454545693,136.19549090909047,177.27107878789886
18,144.0785586567148,129.6896238805971,123.08932767536916,106.76628470149599,126.41983694031376,160.1146119402902,190.29277761196735
20,164.40625294116566,142.80104779411766,139.77169409006237,120.0590356158069,150.29411764703167,160.1768382352941,194.57941176470587
22,170.4818481884195,164.61148913042666,144.92978259510355,124.1520648097933,144.00866304349347,168.46740869568202,208.1245681159882
24,179.20630857142277,173.5189628571167,153.48184157142927,131.3914704910652,151.8936300000241,211.5223999999739,230.71946666665536
26,194.2668920187891,197.54000000002048,171.01277369718127,143.3618151408369,179.99999999997036,198.89292957748646,212.80916431925203
28,196.72691173708813,199.68200140847088,191.67751293136138,144.70396109153296,172.39726854458556,203.82685633804522,220.05914178405936
30,206.74608171293661,206.71196180555557,195.49667236111776,150.97909374999196,174.5337818287204,216.24225694444445,239.34835648148146
32,222.46330740742795,218.14102222217892,205.30686388887304,177.75587031247116,189.04070370370934,297.40533333328835,285.3015555555072
34,285.8541479452397,276.32050684930005,279.80672848454265,233.5808219177732,254.1095890410959,275.472041095876,265.7594109588811
36,274.32528767123523,258.3469315068616,266.4205769049912,220.76933861304397,241.36986301365718,258.17646575343616,261.2426849315295
38,261.4634575342025,248.75473972605334,252.29340091183045,208.13007277401027,228.63013698626807,248.42424657536876,255.12219178084322
40,246.3463081080659,237.92513513513518,238.04289228040844,191.24923986486488,212.9729729730003,237.29513513513513,244.61324324324326
42,252.9720270269948,242.62324662165426,246.0344107728271,201.20666173991282,249.42015844597287,246.95265810809576,251.50983783782755
44,262.33609729733695,249.9393081080767,256.71984205231485,210.27434543915487,252.46082972970464,265.32210810806737,264.3757837837671
46,275.3318864864241,262.7511273648498,269.01044697212143,222.9968538851238,261.36921925675097,294.0827148649129,287.1367270270603
48,285.67973866667865,278.3452480000244,279.6098696875287,235.19075000004577,269.80949333334667,652.8000000000038,567.4666666667459
