"attacker_width","hills + 1 (120)","forest/jungle + 1 (126)","plains/desert + 1 (135)","marsh + 1 (104)","urban + 1 (128)","mountain + 1 (100)","hills/urban + 2 (160)","forest/jungle + 2 (168)","plains/desert + 2 (180)","marsh + 2 (130)","mountain + 2 (125)"
12,665.3237742499733,781.8108442856762,732.8780376000238,657.4831330384868,792.3494294373679,488.0544559200732,882.5013662562737,945.4024393751273,1090.4515530000779,805.3677215076892,641.410824304021
13,597.3531937499862,791.0645000000051,740.2271522000879,681.7390736923016,806.2560740233962,506.44622123997584,870.5768444062464,933.4133095625613,1078.4280936499415,813.9184364615227,643.9988285999677
14,612.0110681999697,817.2773519999419,770.4130070000475,615.0543139038872,712.143789453125,445.4409647199983,882.278858418828,947.5029401250142,1076.780723100101,732.3628603845723,657.2498160480461
15,669.5421318749919,740.595214285716,810.1981349999953,660.9786572835587,759.6149080078098,485.1498919999959,913.7899865624722,843.680975892861,1090.5611400000414,773.2026268269238,588.6786324000389
16,603.8645345500256,789.581929428535,740.1078593999899,608.2991801442939,800.7347654218199,430.95070384004384,947.2167290937209,892.6887871250647,995.2505322000474,692.7120182768715,649.0094920160402
17,525.0557085500044,726.6873349285494,798.647222900017,539.1416648894302,745.6664385156838,520.3326649200102,875.9201686249078,939.6806391071575,1038.7477336500444,761.721664246166,585.3278038080401
18,631.3034198749705,786.4713974285977,737.9438060000057,626.4921725192005,672.5443846250488,472.4869082399815,931.8060096187455,867.950428035697,1077.9067719999464,693.7506632768866,676.5825481200446
19,573.265178287405,741.6811093213616,669.8201802000581,581.0884125576496,755.1719111249118,414.93253301996646,867.8145326719152,938.68504368746,1010.7501294998975,769.4515534923277,624.5289515760023
20,672.602484375,684.4010000000854,761.6600450000511,524.8055821153707,702.1561890625081,537.7719,934.443328125,873.7736737499796,1069.0965,720.6701076923534,561.0202560000375
21,633.8358013498981,771.058071428466,713.6117175998932,632.6151634615128,640.102115097682,505.2181130249965,888.2025943311153,952.3529848751085,1013.9518712249538,662.070407584657,677.3052195839624
22,586.1933068499607,724.5278044285839,653.855890600019,587.7036128365537,739.1842543125092,467.9434147999539,826.0383590000772,901.1453670892481,940.9873670999989,755.5609506000608,637.4305464000164
23,534.4874349749965,686.1203485713505,760.340231099975,554.4730760576937,701.2045644375745,424.2852423000285,913.9931016468748,844.49079489285,1026.6863426999605,719.9373329539529,592.6837555559609
24,661.9154107499782,636.610685142895,724.7938266000416,515.0357917788656,656.89887960931,373.5664783999702,873.5280750998866,940.5877657500295,979.5283626000462,678.9961096615266,540.5774173439852
25,562.9336746875044,519.3276578571368,607.5020100000047,416.96302786058266,539.8834797656244,470.66349999997095,736.9540385937471,802.7524253124992,825.863367500001,560.6311753846207,600.2502200000561
26,527.6967512500038,680.642527142876,558.3300497999802,578.1640782980998,694.3651432812543,447.75796872005054,681.1038782248797,755.0716718749812,945.7741731000017,703.7747570769174,570.6544178400544
27,492.7776869999908,649.0962508928525,707.8289060000488,552.9894409999957,662.1643705273449,423.3175185600197,823.5196589062738,703.8432515625174,899.1283362749905,672.7795639230766,540.3577507200047
28,449.5429285000079,610.7979157143022,676.8183600000184,527.0489949038506,625.1947550781383,394.07343135998786,786.9960609749312,845.9518443750023,852.374367000019,640.2053680000072,504.4614855199848
29,407.6301280000069,567.5411207142903,644.5908709999969,497.2015354327146,585.3840422460919,364.5148164000344,745.2779569875053,813.9590009999864,804.1840604499653,602.6895252692055,463.89821735996975
30,591.7194812499936,520.8634499999994,610.7278849999992,463.15678985577284,542.5238734375,328.6819409999505,706.0152149999986,778.1824328571462,959.4797550000038,560.5054761538377,420.3765749999319
31,570.8704395000296,688.6902985714654,568.2865539999968,429.32074744229624,497.63447078125495,421.86827700001214,654.8457873000041,737.4672953035782,928.1431817999797,518.8062022884717,594.2628629999949
32,543.7434532499416,693.7798999999613,531.1309119999923,518.5765853365879,703.4406699217656,442.0194780000068,834.9870067186496,693.774813642827,887.2916886000634,683.0216923077023,586.0082694080016
33,519.5659712999498,669.6914542857069,680.9251960000332,545.6432952403975,677.5391980467735,462.5561940000338,811.3811438749024,641.785924875021,849.6333400500033,688.737402307698,563.3745741040119
34,493.0552430500082,636.8951371428519,699.6146574000045,573.5190180288614,652.4361910311562,462.4255138200524,781.132788937571,843.1223717857398,806.3185158000027,666.0051656308053,540.5466062800037
35,461.8111068750039,606.3525435714791,678.5385324999876,585.5290853365073,624.5904217187663,445.3996199999926,748.682941953116,816.570553125,753.9471899999598,640.3447096153387,513.6686737999622
36,429.9506575500056,576.8193582857182,654.6782553999797,566.8912831730623,597.1858234843997,426.28168656003226,714.573091906251,788.3875467857101,966.285269999981,615.8076172614883,484.5106504480108
37,524.6802787499912,544.2989499285726,630.0140945000078,546.8543984134316,563.8290156093882,407.0111666250181,673.0434671250273,752.8391995981992,936.0024399999821,585.7716861538393,454.0836512160048
38,541.4871341250206,497.71736485705935,586.0506839999796,500.2002828461719,519.8652059531205,389.4804001800686,616.5470554687023,702.8221465178751,881.6050559999692,541.1403189230867,417.88253087991404
39,560.9173421249224,617.6026071429254,556.9656323999908,478.5496423269539,484.6254198749662,369.2693335649794,574.5682232812654,666.6199769196589,851.2546207500113,507.9422512615541,540.2375129999183
40,584.9178093749182,641.3144571428808,527.066199999992,456.221280432704,626.7057117186372,345.0663059999672,819.674330625115,623.332623750018,817.4612999999742,612.6872653846839,563.3128499999248
41,569.734375987517,667.5843857142737,493.12922309999476,434.40244893747865,649.5463195311609,346.91014800004774,797.9383934437203,807.1699736251041,780.8088570000152,637.2290769231273,584.900324999916
42,553.7709011249898,692.9103685713691,623.1798900000562,406.6163987884419,671.295301406271,358.9612680000348,776.7039122437216,835.8799994999505,741.8787705000002,658.3587461538349,592.9637471039964
43,535.9569852750033,674.8708285714263,647.0524800000417,438.1901203845607,687.2394614062359,372.1855860000552,753.6022695750306,812.982076392825,700.2736511249113,682.6798592306883,580.2383881439584
44,518.8538747249991,657.3917142857155,673.1577900000593,453.3805890865103,669.1449986718867,384.8000159999926,725.9186765062643,797.4213873749769,916.1773800000403,680.171192307696,562.9954200960975
45,499.23578249996433,637.6874142857387,698.0978550000763,467.7071134615611,651.9316078125,399.8449799999298,700.1902209375296,775.4768517857449,950.3323649999533,663.6589269230533,547.5114899999585
46,477.9042527249706,616.9611428572405,683.0734200000917,483.67666413458755,630.4868146875239,411.3109320000038,670.7038052624854,750.0557994642332,930.488505000035,646.8728492307606,527.0582501520282
47,458.11133538754063,595.5262285713914,665.2163700000274,498.8371658654253,609.4716379687444,423.45793499993533,641.1480406312609,725.1441240000524,905.066684999973,624.9507969230802,506.03255092797474
48,433.00644029998483,571.8110099999737,647.8650000000642,515.0546982691799,587.6319175780803,437.30832600001713,608.6909707874563,693.5005581428898,881.5805999999568,606.2782984614837,485.6884950240873
49,436.86008250001436,546.6741685714417,628.165500000019,531.8527801442136,564.1980517969163,450.9448500000203,745.6974135936872,664.9358906250421,855.1328249998915,582.7947184615106,465.019302768065
