"attacker_width","hills (80)","forest/jungle (84)","plains/desert (90)","marsh (78)","urban (96)","mountain (75)"
12,449.6545978000192,552.6350488571076,522.6935224000426,427.82088400000725,580.1327680000785,392.78969552000626
13,380.56316200627776,497.8853369464689,553.9554812499957,468.78194146154,515.0687662500345,443.51988750003
14,443.76024014997466,531.4193022857089,496.5048544000076,423.77452892312334,559.4838325624806,390.6734353200573
15,393.41139468752743,488.69363839285353,539.9373329999902,367.3201292307624,503.8202470312513,447.6431459999952
16,410.81795199999664,393.57958285715256,447.2308032000119,394.67431769232337,499.2656880000065,368.0526704
17,377.1761226250192,472.51614821428245,397.75950000000245,357.62066009614773,458.61567843749265,326.5452239999963
18,337.52041062499035,437.9351396428598,483.20050200004584,314.46577461538743,409.9275502499944,280.26119760001103
19,293.18711140625544,393.1812385714445,448.69602750000155,267.9812113461407,357.08401828123766,389.18410424000757
20,403.96649999998806,349.2829285714245,412.6583119999873,388.1363153846368,467.28682374999516,363.637615999986
21,380.332101899991,468.69968000000466,373.1736315000201,362.6791184615437,434.392750312501,332.9023177200067
22,352.6598719000265,444.1864310000051,462.30624999999293,332.0935255384519,397.4422840624982,300.2168222400039
23,322.1692951499775,415.4620079999865,465.5901024000171,299.9998834999816,353.6362878125031,341.7991560000034
24,288.1942343999712,376.3483002857557,430.6801631999951,346.1474492307579,478.17619200001974,361.29830400000895
25,358.90171499997746,342.05738785714635,404.58361199999433,366.78543230771913,457.9481390625341,382.5785879999804
26,380.29564799994466,407.4440399999662,374.3903880000037,389.0182250769454,435.7427167499778,366.76522019999544
27,387.54202413748783,431.42849571427627,340.06503179997986,374.47485144231933,406.5174914999909,348.46734816000054
28,374.53251210001537,454.5807428571443,417.8496120000549,355.5829375384549,377.3380860000209,326.8358884800005
29,352.6639313062786,438.51718285712775,436.31524799999085,334.7076439038351,343.8859449374981,304.2930469200198
30,333.47979375001063,417.2083714286221,461.1691860000076,312.5522376922637,434.0353200000127,280.25526900003126
31,312.0620871000002,396.5193771428532,445.7444039999868,289.6044568269215,450.8347679999992,287.0443799999746
32,303.457910399973,381.00887657140026,436.54758000002175,293.64658830771896,484.18681799996665,306.8393619999596
33,301.13314000003305,356.7255788571383,417.2277479999786,307.4720483846442,470.35702101559565,320.46304000000424
34,314.3427600000053,330.2960770714163,398.7387960000054,323.11332923080806,455.5561657500172,336.7953119999483
35,328.3649600000036,358.58939428573495,374.52273524997776,337.3356800000027,435.4905370312061,352.21980799995737
36,342.2529500000172,371.76585285717977,348.28180439997874,351.2641238461771,415.0604917500442,364.3730779999705
37,357.1092100000359,386.01205857145686,358.43282199997054,366.71041923078985,393.4533729843572,379.73432799996493
38,371.9621800000382,401.4973942856581,371.13855999998407,380.6617923077482,370.39665374993587,381.7189899999862
39,386.2111800000522,415.2632314286407,386.31115199993434,395.5793076923648,347.9335313906096,372.8015400000214
40,427.2000000000787,434.86897714286084,409.72720199997633,410.338461538406,387.8055600000304,383.3599999999656
41,417.88899999997204,449.1450257142907,424.14134400002064,400.2707692306762,402.2526599999657,372.0816000000458
42,407.876000000067,462.00265142860775,436.4864000000733,389.48307692306264,413.35423999997226,358.45440000005226
43,395.56100000009684,454.7719471429597,450.9867499999887,376.37538461530096,429.3592100000449,344.07839999999857
44,384.14399999995203,443.7570757142567,464.8706599999993,362.5476923077288,443.7770000000868,328.95360000001267
45,370.42499999993777,431.72300857135167,479.4958879999953,348.00000000000006,457.5910700000001,313.0800000000434
46,356.0040000000598,420.13786285706266,470.4746279999613,332.73230769237904,471.46687999996414,186.1599999999694
47,340.8810000000433,406.49658428576447,461.19029200001097,316.7446153846892,486.50882000002207,193.23999999999148
48,325.0559999999804,410.8628571429062,470.95199999999136,189.68615384614267,523.0800000000559,200.32000000001926
49,189.3200000000166,397.2085714285271,459.52799999995324,195.96615384613406,515.4075000000249,206.60000000003754
